순위,가수,노래
1,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
2,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
3,베이식 (Basick),만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
4,Mudd the student,불협화음 (Feat. AKMU) (Prod. GRAY)
5,"아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student",쉬어 (Feat. MINO) (Prod. GRAY)
6,임영웅,사랑은 늘 도망가
7,BE'O (비오),MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY)
8,"개코, Ourealgoat (아우릴고트), SINCE, 안병웅, Tabber, 조광일",Wake Up (Prod. 코드 쿤스트)
9,아이유,strawberry moon
10,aespa,Savage
11,"경서예지, 전건호",다정히 내 이름을 부르면
12,이무진,신호등
13,"The Kid LAROI, Justin Bieber",STAY
14,조광일,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)"
15,aespa,Next Level
16,임영웅,이제 나만 믿어요
17,쿤타,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)"
18,주시크 (Joosiq),너를 생각해
19,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
20,"Coldplay, 방탄소년단",My Universe
21,BE'O (비오),문득
22,방탄소년단,Permission to Dance
23,방탄소년단,Butter
24,AKMU (악뮤),낙하 (with 아이유)
25,임영웅,그대라는 사치
26,베이식 (Basick),"08베이식 (Feat. 염따, punchnello)"
27,임영웅,별빛 같은 나의 사랑아
28,임영웅,다시 사랑한다면 (김필 Ver.)
29,MSG워너비(M.O.M),바라만 본다
30,Mariah Carey,All I Want for Christmas Is You
31,임영웅,잊었니
32,Ariana Grande,Santa Tell Me
33,임영웅,HERO
34,"염따, TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상, 송민영",너와 나의 Memories
35,방탄소년단,Dynamite
36,임영웅,끝사랑
37,임영웅,Bk Love
38,쿤타,바래 (Feat. 정인) (Prod. TOIL)
39,Justin Bieber,Peaches (Feat. Daniel Caesar & Giveon)
40,태연 (TAEYEON),Weekend
41,헤이즈 (Heize),헤픈 우연
42,"SINCE, Tabber","Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)"
43,Ed Sheeran,Bad Habits
44,아이유,Celebrity
45,멜로망스,고백
46,"Don Mills, Northfacegawd, sokodomo, Khakii (카키), 에이체스 (A-Chess)",TROUBLE (Prod. Slom)
47,sokodomo,"BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)"
48,아이유,라일락
49,멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
50,TWICE (트와이스),SCIENTIST
51,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment)
52,경서,밤하늘의 별을(2020)
53,임영웅,계단말고 엘리베이터
54,SINCE,"FACE TIME (Feat. 기리보이, pH-1, 개코) (Prod. 코드 쿤스트)"
55,케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌)
56,브레이브걸스,롤린 (Rollin')
57,Sia,Snowman
58,조정석,좋아좋아
59,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
60,케이시 (Kassy),나 그댈위해 시 한편을 쓰겠어
61,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
62,전소미,DUMB DUMB
63,아이유,내 손을 잡아
64,송이한,밝게 빛나는 별이 되어 비춰줄게
65,헤이즈 (Heize),비가 오는 날엔 (2021)
66,정동하,추억은 만남보다 이별에 남아
67,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
68,IVE (아이브),ELEVEN
69,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
70,"조광일, 개코, 저스디스 (JUSTHIS)",가시 (Prod. 코드 쿤스트)
71,오마이걸 (OH MY GIRL),Dun Dun Dance
72,Red Velvet (레드벨벳),Queendom
73,방탄소년단,봄날
74,임재현,다음생이 있다면 당신을 만나서 다시 사랑할래요
75,아이유,Blueming
76,세븐틴,Rock with you
77,David Guetta,"19금
Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)"
78,Mudd the student,"이끼 (Feat. MINO, BOBBY) (Prod. MINO)"
79,"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) (BTS Remix)
80,이무진,비와 당신
81,Justin Bieber,Off My Face
82,백지영,왜 사랑은 이렇게 아픔만 주고 (N번째 연애 X 백지영)
83,마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
84,볼빨간사춘기,너는 내 세상이었어
85,10CM,어제 너는 나를 버렸어
86,STAYC(스테이씨),ASAP
87,김대명,가을 우체국 앞에서
88,산들,취기를 빌려 (취향저격 그녀 X 산들)
89,이예준,그날에 나는 맘이 편했을까
90,빅마마,하루만 더
91,방탄소년단,Life Goes On
92,아이유,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)
93,아이유,에잇(Prod.&Feat. SUGA of BTS)
94,ASH ISLAND,멜로디
95,"유희열, 유재석, 정재형, 루시드폴, 페퍼톤스 (Peppertones), 박새별, 샘김 (Sam Kim), 이진아, 권진아, 정승환, 윤석철, 적재, 이미주, 서동환",다음 겨울에도 여기서 만나
96,전소미,XOXO
97,BLACKPINK,Lovesick Girls
98,창모 (CHANGMO),METEOR
99,장범준,잠이 오질 않네요
100,스탠딩 에그,오래된 노래
