,메뉴,가격
0,김치 부대찌개,"5,800원"
1,제육 김치 부대찌개 정식,"8,500원"
2,돈치스팸 김치 부대찌개 정식,"8,500원"
3,빅치킨마요 김치 부대찌개 정식,"7,400원"
4,치킨마요 김치 부대찌개 정식,"6,800원"
5,반찬 김치 부대찌개,"4,500원"
6,마파두부 덮밥,"5,000원"
7,두부강정 야채비빔밥,"4,800원"
8,두부연근튀김,"3,000원"
9,리얼 티라미수 찰떡,"1,500원"
10,"매화(치킨, 연어구이)","10,000원"
11,매화(순살 고등어 간장구이),"10,000원"
12,진달래,"7,000원"
13,개나리(순살 고등어 간장구이),"8,000원"
14,치킨스테이크 스페셜,"10,000원"
15,돈까스도련님고기고기,"5,600원"
16,탕수육도련님고기고기,"5,800원"
17,새치 고기고기,"6,000원"
18,돈치 고기고기,"5,300원"
19,고기고기,"4,200원"
20,숯불직화구이,"6,500원"
21,소불고기,"5,000원"
22,메가치킨제육,"6,900원"
23,칠리 찹쌀탕수육도련님,"4,200원"
24,동백,"5,200원"
25,치킨제육,"4,400원"
26,돈까스도련님,"4,000원"
27,제육볶음,"4,100원"
28,돈치스팸 도시락,"4,600원"
29,고추장숯불삼겹정식,"9,000원"
30,숯불삼겹정식,"8,500원"
31,제육 김치찌개 정식,"8,000원"
32,돈치스팸 김치찌개 정식,"8,000원"
33,빅치킨마요 김치찌개 정식,"6,900원"
34,치킨마요 김치찌개 정식,"6,300원"
35,메가스팸마요,"5,600원"
36,스팸마요,"3,600원"
37,비벼먹는 치킨마요 김밥,"4,300원"
38,비벼먹는 참치마요 김밥,"4,300원"
39,비벼먹는 소불고기마요 김밥,"4,300원"
40,메가치킨마요,"5,300원"
41,왕치킨마요,"4,300원"
42,빅치킨마요,"3,600원"
43,치킨마요,"3,000원"
44,참치마요,"3,000원"
45,돈치마요,"3,600원"
46,치즈 카레도시락,"4,100원"
47,돈까스 카레,"4,100원"
48,3종치즈 김치볶음밥,"4,800원"
49,스팸 김치볶음밥,"4,600원"
50,김치볶음밥,"3,900원"
51,스팸철판볶음밥,"4,500원"
52,소불고기 철판볶음밥,"4,500원"
53,소고기 육개장,"4,700원"
54,묵은지 김치찌개,"4,500원"
55,고추장숯불삼겹덮밥,"6,500원"
56,숯불직화구이 덮밥,"5,700원"
57,왕카레돈까스덮밥,"5,600원"
58,치킨스테이크 덮밥,"5,700원"
59,새우돈까스 덮밥,"3,900원"
60,돈까스 덮밥,"3,800원"
61,소불고기 감초고추장 비빔밥,"4,800원"
62,시골제육 두부강된장 비빔밥,"4,800원"
63,참치야채 감초고추장,"3,200원"
64,열무 두부강된장 비빔밥,"4,300원"
65,튼튼도시락,"5,000원"
66,반찬 계란말이,"2,500원"
67,반찬 치즈계란말이,"3,000원"
68,반찬 묵은지김치찌개,"3,900원"
69,반찬 소고기육개장,"4,300원"
70,반찬 카레,"2,600원"
71,반찬 소불고기,"3,900원"
72,반찬 순살 고등어데리야끼,"3,600원"
73,반찬 치킨,"3,300원"
74,반찬 고기고기,"3,200원"
75,반찬 돈까스 도련님,"3,300원"
76,반찬 제육볶음,"3,100원"
77,반찬 토네이도 소세지,"2,600원"
78,반찬 반달돈까스,"2,600원"
79,리얼꿀 미니호떡,"2,200원"
80,바삭 군만두,"2,000원"
81,미니 찹쌀핫도그,"2,500원"
82,미니 찹쌀탕수육,"2,200원"
83,감자고로케,"2,200원"
84,케이준후라이,"1,500원"
85,고메이 크림 고로케,"3,500원"
86,국물떡볶이 & 토네이도소세지 튀김set,"5,300원"
87,국물 떡볶이,"3,000원"
88,토네이도 소세지 튀김세트,"2,900원"
89,후라이드 순살(중),"7,000원"
90,후라이드 순살(소)_양념치킨소스,"3,500원"
91,후라이드 순살(소)_케이준소스,"3,500원"
92,찹쌀탕수육박스(대),"10,000원"
93,찹쌀탕수육박스(중),"5,000원"
94,오리지널 닭강정(중),"7,500원"
95,오리지널 닭강정(소),"2,800원"
96,치킨 BOX(대),"10,000원"
97,치킨BOX(중)_양식소스,"5,000원"
98,치킨BOX(중)_타르타르소스,"5,000원"
99,오징어젓갈,400원
100,오이지무침,700원
101,한솥 두부강된장소스,"1,800원"
102,한솥 감초볶음고추장소스,500원
103,볶음김치,400원
104,김치,300원
105,무말랭이 무침,300원
106,한솥밥,"1,000원"
107,현미밥,"1,700원"
108,리얼 티라미수 찰떡,"1,500원"
109,아이스 애플망고,"1,500원"
